v,w,t
0.09431335854065523,-0.006181146651337175,1579539770.8168237
0.11977317994431179,0.0012122128917367294,1579539770.867236
0.16715869739527192,-0.031997403495015335,1579539770.9177916
0.23575006288044847,-0.025937237242329634,1579539770.9683998
0.30434116545955625,-0.01987708111683867,1579539771.0190265
0.3729335146493643,-0.013816852931063713,1579539771.0694633
0.4415241976078086,-0.0077567033783654,1579539771.1199203
0.521962023993304,-0.023634485306085418,1579539771.160443
0.6079638953836498,-0.029209730645261035,1579539771.2109628
0.693960335714662,-0.0347852619100554,1579539771.261493
0.7799653261146844,-0.040360615918554006,1579539771.3119884
0.8659667165451039,-0.045935922159700646,1579539771.362611
0.9517456029615751,-0.0511399289639956,1579539771.4131856
1.0440600492486876,-0.04435046583595415,1579539771.463762
1.1363457346741117,-0.03756298016233363,1579539771.5143824
1.228630103523679,-0.030775576994411764,1579539771.565033
1.320915902804888,-0.023988086080707023,1579539771.6156027
1.4299537304179666,-0.04822830268285537,1579539771.6661994
1.555746716562501,-0.04144096171411529,1579539771.7167218
1.6815462444856353,-0.034653477501405364,1579539771.7672892
1.8073395317006233,-0.027866051739771792,1579539771.8177385
1.9331295148720096,-0.021078825427245235,1579539771.8680613
2.082645407172128,-0.058175598084312344,1579539771.9185138
2.2509529409578235,-0.06035930992680663,1579539771.969022
2.419290061933755,-0.06254101282883101,1579539772.019616
2.5876229414614205,-0.06472282768494886,1579539772.0599792
2.7559622260419014,-0.0669044598429326,1579539772.1104136
2.9082658151923466,-0.03939180910584846,1579539772.1607559
3.0406070886444665,-0.04884563309190498,1579539772.2112694
3.172945851323301,-0.05829952191831092,1579539772.261697
3.305283085637661,-0.06775349098164186,1579539772.312132
3.437626769801542,-0.07720719360477922,1579539772.3626733
3.526175790084488,-0.005575278326787378,1579539772.413088
3.570484886165818,-0.015877586326698834,1579539772.4635894
