v_c,w_c,t_c
4.506035804748535,-4.1248040199279785,1579387239.222425
4.506035804748535,-4.1248040199279785,1579387239.300102
4.506035804748535,-4.1248040199279785,1579387239.369383
4.506035804748535,-4.1248040199279785,1579387239.399252
4.506035804748535,-4.112304210662842,1579387239.462132
4.506035804748535,-4.1248040199279785,1579387239.54023
4.506035804748535,-4.112304210662842,1579387239.609236
4.506035804748535,-4.1248040199279785,1579387239.638947
4.506035804748535,-4.1248040199279785,1579387239.701962
4.506035804748535,-4.112304210662842,1579387239.779952
4.506035804748535,-3.9248132705688477,1579387239.850051
4.506035804748535,-3.8498167991638184,1579387239.879806
4.506035804748535,-3.318592071533203,1579387239.946857
4.506035804748535,-3.156099557876587,1579387239.977931
4.506035804748535,-2.443633794784546,1579387240.024827
4.506035804748535,-2.2311437129974365,1579387240.05663
4.506035804748535,-1.9686566591262817,1579387240.089866
4.506035804748535,-1.0936977863311768,1579387240.15313
4.506035804748535,-0.0749964714050293,1579387240.218006
4.506035804748535,-0.05624708533287048,1579387240.248752
4.506035804748535,0.11249470710754395,1579387240.310823
4.506035804748535,0.23123912513256073,1579387240.341784
4.506035804748535,0.6562188863754272,1579387240.387678
4.506035804748535,0.7687132954597473,1579387240.417637
4.506035804748535,0.874958336353302,1579387240.451621
4.506035804748535,1.3499356508255005,1579387240.513737
4.506035804748535,1.4186824560165405,1579387240.547625
4.506035804748535,1.6186730861663818,1579387240.611473
4.506035804748535,1.668670654296875,1579387240.64144
4.506035804748535,1.8561615943908691,1579387240.703411
4.506035804748535,1.9124089479446411,1579387240.774292
4.506035804748535,1.9249083995819092,1579387240.808624
4.506035804748535,1.9936552047729492,1579387240.872496
4.506035804748535,2.0624020099639893,1579387240.936669
4.506035804748535,2.0624020099639893,1579387240.967267
4.506035804748535,2.099900245666504,1579387241.029264
4.506035804748535,2.1123995780944824,1579387241.060314
4.506035804748535,1.8936598300933838,1579387241.103215
4.506035804748535,1.8936598300933838,1579387241.133159
4.506035804748535,1.8936598300933838,1579387241.167146
4.506035804748535,2.312390089035034,1579387241.231272
4.506035804748535,2.331139087677002,1579387241.262281
4.506035804748535,2.518630266189575,1579387241.29626
4.506035804748535,2.6186254024505615,1579387241.343193
4.506035804748535,2.8061165809631348,1579387241.408262
4.506035804748535,2.787367343902588,1579387241.438031
4.506035804748535,3.043605327606201,1579387241.504939
4.506035804748535,3.081103563308716,1579387241.537105
4.506035804748535,3.199847936630249,1579387241.583055
4.506035804748535,3.231096029281616,1579387241.613171
4.506035804748535,3.318592071533203,1579387241.649309
4.506035804748535,3.499833583831787,1579387241.712027
4.506035804748535,3.7560715675354004,1579387241.776978
4.506035804748535,4.081056118011475,1579387241.853918
4.506035804748535,4.1248040199279785,1579387241.888969
4.506035804748535,4.3997907638549805,1579387241.952013
4.506035804748535,4.524784564971924,1579387242.017025
4.506035804748535,4.6185302734375,1579387242.093888
4.506035804748535,4.6310296058654785,1579387242.128542
4.506035804748535,4.681027412414551,1579387242.191808
4.506035804748535,4.712275505065918,1579387242.256752
4.506035804748535,4.712275505065918,1579387242.333493
4.506035804748535,4.712275505065918,1579387242.36858
4.506035804748535,4.712275505065918,1579387242.433775
4.506035804748535,4.712275505065918,1579387242.496607
4.506035804748535,4.693526744842529,1579387242.530835
4.506035804748535,4.712275505065918,1579387242.594432
4.506035804748535,4.681027412414551,1579387242.624567
4.6054840087890625,4.797112941741943,1579387242.663315
4.6054840087890625,4.797112941741943,1579387242.693564
4.6054840087890625,4.797112941741943,1579387242.731294
4.80095100402832,5.000713348388672,1579387242.792307
4.852390289306641,5.04083251953125,1579387242.830595
4.900399684906006,4.98875617980957,1579387242.903197
4.900399684906006,4.886806488037109,1579387242.971352
4.900399684906006,4.886806488037109,1579387243.001312
